Date,Returns,ReturnVelocity,ReturnAcceleration,SmaDiffWeekMonth,VolumeVelocity,IsBiggestVolume,WeekMomentum,MonthMomentum,SeasonVolatility
2018-10-04 00:00:00-04:00,-2.260161814468973,-4.149130682452777,-6.8486375904455095,0.19646876265344734,-0.20471212666565736,0,-0.11717419158478258,-0.08537116177783635,-0.6325127686756272
2018-10-05 00:00:00-04:00,0.5754579973001226,2.8356198117690954,6.984750494221872,0.17647832572947011,-0.1763050176262791,0,-0.09345777089093295,-0.07157601234620269,-0.616548750526222
2018-10-08 00:00:00-04:00,0.45558880185999484,-0.11986919544012775,-2.955489007209223,0.16094786997820762,-0.36127973399283186,0,-0.0909294317824652,0.027130079712471736,-0.6299230329055963
2018-10-09 00:00:00-04:00,-0.25313906578879786,-0.7087278676487927,-0.588858672208665,0.13403658854145245,-0.0006259879540550396,1,0.033123249742525895,0.0789086266968526,-0.6348000727179633
2018-10-10 00:00:00-04:00,-1.5755477373079687,-1.3224086715191707,-0.613680803870378,0.13357439819251585,0.43030916746391223,0,-0.7217164071644331,-0.11837854914493294,-0.6352361242118134
2018-10-11 00:00:00-04:00,-2.556942910912945,-0.9813951736049762,0.34101349791419455,-0.04418531487741118,0.9187792715794197,0,-0.7868312036040325,-0.7912306575586251,-0.6265832790209954
2018-10-12 00:00:00-04:00,1.0586201907032409,3.6155631016161855,4.596958275221162,-0.15074977226925193,-0.616120248711539,0,-0.6841253306776438,-0.5963416324990634,-0.5994425935857999
2018-10-15 00:00:00-04:00,-1.6650051717448515,-2.723625362448092,-6.339188464064278,-0.2562301508541981,-0.29488573966580534,0,-1.1376063535824323,-0.7492059777162747,-0.7072956148839943
2018-10-16 00:00:00-04:00,3.061206695588607,4.7262118673334585,7.449837229781551,-0.46332953526930165,-0.3665071540215192,0,-0.4388781556827651,-0.06175568545290058,-0.6997385050800056
2018-10-17 00:00:00-04:00,0.3916595308784561,-2.669547164710151,-7.3957590320436095,-0.5708216355302294,-0.4015366366358033,1,-0.004615190310239095,0.19348389746606795,-0.6545703192630479
2018-10-18 00:00:00-04:00,-2.568519372724728,-2.9601789036031843,-0.2906317388930333,-0.5943319551950108,0.5273483468511225,1,-0.007248035051582308,-0.33072462390951574,-0.6820139019725451
2018-10-19 00:00:00-04:00,-2.146817263387441,0.421702109337287,3.3818810129404713,-0.5564247842761207,0.5843269695141425,0,-0.7100980385963486,-0.5285587058813643,-0.6632311254484519
2018-10-22 00:00:00-04:00,-4.205997458896871,-2.0591801955094295,-2.4808823048467166,-0.6740213115944823,-0.020852388649698735,0,-1.2645265397249272,-1.1452773248321046,-0.6453024247961854
2018-10-23 00:00:00-04:00,-1.5545261613376364,2.651471297559234,4.710651493068664,-0.8524226344301618,-0.04102802442259711,0,-2.200634552749653,-1.3542424507779665,-0.6214920209346638
2018-10-24 00:00:00-04:00,-4.279149976596525,-2.724623815258888,-5.376095112818122,-1.2560819211872865,-0.028272373538950724,0,-3.1295486915034525,-1.8511448537893986,-0.6169812989506858
2018-10-25 00:00:00-04:00,2.9215486749666337,7.200698651563158,9.925322466822045,-1.8414870718180976,-0.048748161234646994,0,-2.056873122659288,-1.5514209385742097,-0.536039482876745
2018-10-26 00:00:00-04:00,-1.150160184498175,-4.071708859464809,-11.272407511027968,-2.172003141840348,-0.49600602740681204,0,-1.8520552862574409,-1.7189835562362246,-0.5068888204305416
2018-10-29 00:00:00-04:00,0.7055514124313801,1.855711596929555,5.927420456394364,-2.4196006025214674,-0.46218076395343377,1,-0.810510046496734,-1.6923279319602835,-0.5141603874576417
2018-10-30 00:00:00-04:00,0.2826824460369225,-0.4228689663944576,-2.2785805633240126,-2.404143693903045,0.12839006556733829,1,-0.41196648435871225,-1.5791749929929737,-0.5248615060436204
2018-10-31 00:00:00-04:00,-4.583868509825419,-4.866550955862341,-4.443681989467883,-2.308365457352539,1.85724734508783,0,-0.48121900599176154,-2.2385789490547245,-0.5267008744332261
2018-11-01 00:00:00-04:00,3.0314297803319303,7.61529829015735,12.481849246019692,-2.1389018163832,-0.3968005322369289,0,-0.45806771390098383,-1.7123274338277255,-0.47205501780509285
2018-11-02 00:00:00-04:00,-0.8103553052419201,-3.8417850855738505,-11.4570833757312,-2.0369998913404093,0.11749572954021192,0,-0.38344421947698565,-1.853512731851554,-0.41664413777461257
2018-11-05 00:00:00-05:00,3.7958725140383787,4.606227819280299,8.44801290485415,-1.8986612931940736,-0.3399776931393823,0,0.2849958899729546,-1.5174964391002292,-0.43779799119092816
2018-11-06 00:00:00-05:00,1.3078563926288849,-2.488016121409494,-7.094243940689793,-1.6483388815850082,-0.3831119777232029,0,0.51451063753919,-1.354093649538913,-0.35584683899117375
2018-11-07 00:00:00-05:00,3.944501453015295,2.63664506038641,5.124661181795904,-1.365648317499321,0.24450137669940084,1,2.5417283359863894,-0.7593348253761278,-0.3518184155403981
2018-11-08 00:00:00-05:00,0.8854751012173733,-3.0590263517979217,-5.695671412184332,-0.7195050234403249,-0.23193827820367233,0,2.0271082927415103,-0.3636839128108149,-0.26760903381868134
2018-11-09 00:00:00-05:00,1.2082435179297484,0.3227684167123751,3.381794768510297,-0.22076975662694362,-0.1345392992064658,0,2.519463432455263,-0.3465165670717578,-0.27762685210320465
2018-11-12 00:00:00-05:00,1.0136519688169905,-0.1945915491127579,-0.517359965825133,0.3825602092865669,-0.09169856954521884,0,1.8577715341328176,-0.03019502960138625,-0.2727485377685359
